[16/12/2025, 23:43:35] 45.82.78.113 ~~ GET brasaz.com.br/favicon.ico
[17/12/2025, 00:41:37] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/xmlrpc.php?rsd
[17/12/2025, 00:41:38] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/wp/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:38] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/news/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:38] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/2018/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:39] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/2019/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:39] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/shop/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:39] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/wp1/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:39] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/media/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:39] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/wp2/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:40] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/cms/wp-includes/wlwmanifest.xml
[17/12/2025, 00:41:40] 165.22.138.213 ~~ GET wolimp.com.br/en-us.index.htm/sito/wp-includes/wlwmanifest.xml
[17/12/2025, 02:19:15] 162.243.29.233 ~~ GET brasaz.com.br/wp-admin/css/
[17/12/2025, 02:19:28] 162.243.29.233 ~~ GET brasaz.com.br/files/
[17/12/2025, 02:49:10] 14.215.163.132 ~~ GET wolimp.com.br/zh-cn.index.htm
[17/12/2025, 04:09:09] 2607:b500:421:8c00::1 ~~ GET ax6.com.br/flyriver.com
[17/12/2025, 04:21:24] 20.215.254.211 ~~ GET wolimp.com.br/wp-content/plugins/hellopress/wp_filemanager.php
[17/12/2025, 04:21:24] 20.215.254.211 ~~ GET wolimp.com.br/wp-admin/user/wp-login.php
[17/12/2025, 04:21:24] 20.215.254.211 ~~ GET wolimp.com.br/wp-content/plugins/classic-editor/wp-login.php
[17/12/2025, 04:21:25] 20.215.254.211 ~~ GET wolimp.com.br/wp-admin/images/wp-login.php
[17/12/2025, 04:21:25] 20.215.254.211 ~~ GET wolimp.com.br/wp-content/plugins/wp-login.php
[17/12/2025, 04:21:25] 20.215.254.211 ~~ GET wolimp.com.br/wp-content/languages/wp-login.php
[17/12/2025, 04:21:26] 20.215.254.211 ~~ GET wolimp.com.br/wp-includes/certificates/wp-login.php
[17/12/2025, 04:21:26] 20.215.254.211 ~~ GET wolimp.com.br/wp-admin/maint/wp-login.php
[17/12/2025, 04:21:26] 20.215.254.211 ~~ GET wolimp.com.br/cgi-bin/wp-login.php
[17/12/2025, 04:21:27] 20.215.254.211 ~~ GET wolimp.com.br/wp-includes/IXR/wp-login.php
[17/12/2025, 04:21:27] 20.215.254.211 ~~ GET wolimp.com.br/wp-includes/pomo/wp-login.php
[17/12/2025, 04:21:28] 20.215.254.211 ~~ GET wolimp.com.br/wp-includes/fonts/wp-login.php
